Hour;Normalized_Traffic
0;3.334562855819721e-05
1;1.6329665618499895e-05
2;1.2026098358087638e-05
3;1.6874716027515625e-05
4;2.9912034159454597e-05
5;8.774542860736491e-05
6;0.00017633452978232288
7;0.00021116206063546007
8;0.00024751742382755806
9;0.00018617697964325335
10;0.0001489258987607942
11;0.00015330599129701275
12;0.00016633542380428988
13;0.00016388765647608507
14;0.00016714134456375355
15;0.0001754404189739683
16;0.0002177887527592966
17;0.00024234959210420935
18;0.00022147547570968394
19;0.00016026646852210113
20;0.00012463502551200852
21;9.893036887062895e-05
22;9.057448324626245e-05
23;7.088938514390702e-05
24;3.334562855819721e-05
25;1.6329665618499895e-05
26;1.2026098358087638e-05
27;1.6874716027515625e-05
28;2.9912034159454597e-05
29;8.774542860736491e-05
30;0.00017633452978232288
31;0.00021116206063546007
32;0.00024751742382755806
33;0.00018617697964325335
34;0.0001489258987607942
35;0.00015330599129701275
36;0.00016633542380428988
37;0.00016388765647608507
38;0.00016714134456375355
39;0.0001754404189739683
40;0.0002177887527592966
41;0.00024234959210420935
42;0.00022147547570968394
43;0.00016026646852210113
44;0.00012463502551200852
45;9.893036887062895e-05
46;9.057448324626245e-05
47;7.088938514390702e-05
48;3.334562855819721e-05
49;1.6329665618499895e-05
50;1.2026098358087638e-05
51;1.6874716027515625e-05
52;2.9912034159454597e-05
53;8.774542860736491e-05
54;0.00017633452978232288
55;0.00021116206063546007
56;0.00024751742382755806
57;0.00018617697964325335
58;0.0001489258987607942
59;0.00015330599129701275
60;0.00016633542380428988
61;0.00016388765647608507
62;0.00016714134456375355
63;0.0001754404189739683
64;0.0002177887527592966
65;0.00024234959210420935
66;0.00022147547570968394
67;0.00016026646852210113
68;0.00012463502551200852
69;9.893036887062895e-05
70;9.057448324626245e-05
71;7.088938514390702e-05
72;3.334562855819721e-05
73;1.6329665618499895e-05
74;1.2026098358087638e-05
75;1.6874716027515625e-05
76;2.9912034159454597e-05
77;8.774542860736491e-05
78;0.00017633452978232288
79;0.00021116206063546007
80;0.00024751742382755806
81;0.00018617697964325335
82;0.0001489258987607942
83;0.00015330599129701275
84;0.00016633542380428988
85;0.00016388765647608507
86;0.00016714134456375355
87;0.0001754404189739683
88;0.0002177887527592966
89;0.00024234959210420935
90;0.00022147547570968394
91;0.00016026646852210113
92;0.00012463502551200852
93;9.893036887062895e-05
94;9.057448324626245e-05
95;7.088938514390702e-05
96;3.334562855819721e-05
97;1.6329665618499895e-05
98;1.2026098358087638e-05
99;1.6874716027515625e-05
100;2.9912034159454597e-05
101;8.774542860736491e-05
102;0.00017633452978232288
103;0.00021116206063546007
104;0.00024751742382755806
105;0.00018617697964325335
106;0.0001489258987607942
107;0.00015330599129701275
108;0.00016633542380428988
109;0.00016388765647608507
110;0.00016714134456375355
111;0.0001754404189739683
112;0.0002177887527592966
113;0.00024234959210420935
114;0.00022147547570968394
115;0.00016026646852210113
116;0.00012463502551200852
117;9.893036887062895e-05
118;9.057448324626245e-05
119;7.088938514390702e-05
120;3.8738957736629255e-05
121;2.384374427850826e-05
122;1.5173256120135956e-05
123;1.4081440137411283e-05
124;1.4202493568409697e-05
125;1.902344955761671e-05
126;2.7927282772806024e-05
127;3.646692246325721e-05
128;5.4279465747462346e-05
129;7.471207808531867e-05
130;8.620306159083035e-05
131;9.38195913775379e-05
132;9.639727726509527e-05
133;0.00010153549739327779
134;0.00010197212046319337
135;9.925887457096726e-05
136;0.0001016298107867699
137;0.00010492962233944156
138;0.00010304362310985258
139;9.057981058912886e-05
140;7.415433959050011e-05
141;6.246400435251291e-05
142;5.3732720838388254e-05
143;4.783255429371998e-05
144;3.8738957736629255e-05
145;2.384374427850826e-05
146;1.5173256120135956e-05
147;1.4081440137411283e-05
148;1.4202493568409697e-05
149;1.902344955761671e-05
150;2.7927282772806024e-05
151;3.646692246325721e-05
152;5.4279465747462346e-05
153;7.471207808531867e-05
154;8.620306159083035e-05
155;9.38195913775379e-05
156;9.639727726509527e-05
157;0.00010153549739327779
158;0.00010197212046319337
159;9.925887457096726e-05
160;0.0001016298107867699
161;0.00010492962233944156
162;0.00010304362310985258
163;9.057981058912886e-05
164;7.415433959050011e-05
165;6.246400435251291e-05
166;5.3732720838388254e-05
167;4.783255429371998e-05
168;3.334562855819721e-05
169;1.6329665618499895e-05
170;1.2026098358087638e-05
171;1.6874716027515625e-05
172;2.9912034159454597e-05
173;8.774542860736491e-05
174;0.00017633452978232288
175;0.00021116206063546007
176;0.00024751742382755806
